source,target,count,source_count,target_count,probability
#acts17apologetics,#davidwood,2,5,1,1e-06
#acts17apologetics,#hatuntash,2,5,3,1e-06
#christianconcern,#hatuntash,1,3,3,1e-06
#davidwood,#hatuntash,2,4,3,1e-06
#acts17apologetics,#londo,1,5,3,1e-06
#davidwood,#londo,1,4,3,1e-06
#hatuntash,#londo,1,4,3,1e-06
#acts17apologetics,#speakerscorner,2,5,8,1e-06
#charliehebdo,#speakerscorner,10,7,8,1e-06
#christianconcern,#speakerscorner,1,3,8,1e-06
#davidwood,#speakerscorner,2,4,8,1e-06
#hatuntash,#speakerscorner,3,4,8,1e-06
#knifecr,#speakerscorner,9,1,8,1e-06
#londo,#speakerscorner,1,2,8,1e-06
#london,#speakerscorner,1,19,8,1e-06
#acts17apologetics,#stabbing,2,5,9,1e-06
#bexley,#stabbing,1,1,9,1e-06
#brixton,#stabbing,2,3,9,1e-06
#davidwood,#stabbing,2,4,9,1e-06
#enoughisenough,#stabbing,1,3,9,1e-06
#hatuntash,#stabbing,2,4,9,1e-06
#londo,#stabbing,1,2,9,1e-06
#london,#stabbing,3,19,9,1e-06
#speakerscorner,#stabbing,2,1,9,1e-06
#anonymousprotectingchildrens,#hacker,1,4,1,1e-06
#anonymousprotectingchildrens,#labourparty,1,4,2,1e-06
#hacker,#labourparty,1,3,2,1e-06
#anonymousprotectingchildrens,#police,1,4,15,1e-06
#bournemouth,#police,9,10,15,1e-06
#brutally,#police,5,5,15,1e-06
#covid19,#police,9,9,15,1e-06
#crime,#police,15,44,15,1e-06
#feminist,#police,9,7,15,1e-06
#hacker,#police,1,3,15,1e-06
#harassment,#police,9,6,15,1e-06
#hydepark,#police,5,3,15,1e-06
#labourparty,#police,1,2,15,1e-06
#lawyer,#police,9,5,15,1e-06
#london,#police,14,19,15,1e-06
#metoo,#police,9,3,15,1e-06
#metooindia,#police,9,2,15,1e-06
#oakland,#police,1,1,15,1e-06
#anonymousprotectingchildrens,#workfromhome,1,4,4,1e-06
#hacker,#workfromhome,1,3,4,1e-06
#labourparty,#workfromhome,1,2,4,1e-06
#police,#workfromhome,1,4,4,1e-06
#arrests,#charges,2,6,1,1e-06
#arrests,#crime,2,6,10,1e-06
#assault,#crime,1,1,10,1e-06
#assaultingpolice,#crime,1,2,10,1e-06
#borisjohnson,#crime,2,4,10,1e-06
#bournemouth,#crime,9,10,10,1e-06
#brutally,#crime,5,5,10,1e-06
#caller_idspoofing,#crime,1,2,10,1e-06
#callerid,#crime,1,1,10,1e-06
#charges,#crime,2,5,10,1e-06
#covid19,#crime,9,9,10,1e-06
#arrests,#eunat,1,6,3,1e-06
#charges,#eunat,1,5,3,1e-06
#crime,#eunat,1,44,3,1e-06
#arrests,#horrific,2,6,6,1e-06
#charges,#horrific,2,5,6,1e-06
#crime,#horrific,4,44,6,1e-06
#eu,#horrific,2,2,6,1e-06
#eunat,#horrific,1,3,6,1e-06
#hate,#horrific,2,1,6,1e-06
#arrests,#huge,2,6,5,1e-06
#charges,#huge,2,5,5,1e-06
#crime,#huge,2,44,5,1e-06
#eunat,#huge,1,3,5,1e-06
#horrific,#huge,2,2,5,1e-06
#arrests,#list,2,6,6,1e-06
#charges,#list,2,5,6,1e-06
#crime,#list,2,44,6,1e-06
#eunat,#list,1,3,6,1e-06
#horrific,#list,2,2,6,1e-06
#huge,#list,2,1,6,1e-06
#assaultingpolice,#london,1,2,24,1e-06
#bournemouth,#london,9,10,24,1e-06
#brixton,#london,2,3,24,1e-06
#brutally,#london,5,5,24,1e-06
#charliehebdo,#london,1,7,24,1e-06
#christianconcern,#london,1,3,24,1e-06
#covid19,#london,9,9,24,1e-06
#crime,#london,28,44,24,1e-06
#drugs,#london,1,3,24,1e-06
#eastlondon,#london,9,4,24,1e-06
#edmonton,#london,1,3,24,1e-06
#ems,#london,1,5,24,1e-06
#enfield,#london,1,2,24,1e-06
#enoughisenough,#london,1,3,24,1e-06
#fatal,#london,1,4,24,1e-06
#feminist,#london,9,7,24,1e-06
#gangster,#london,9,3,24,1e-06
#harassment,#london,9,6,24,1e-06
#hatuntash,#london,1,4,24,1e-06
#hydepark,#london,5,3,24,1e-06
#judaspig,#london,9,2,24,1e-06
#khaned,#london,1,3,24,1e-06
#knifecrime,#london,168,10,24,1e-06
#lawyer,#london,9,5,24,1e-06
#austerity,#beatingcrimeplan,12,5,1,1e-06
#austerity,#borisjohnson,12,5,2,1e-06
#beatingcrimeplan,#borisjohnson,12,4,2,1e-06
#austerity,#policecuts,12,5,3,1e-06
#beatingcrimeplan,#policecuts,12,4,3,1e-06
#borisjohnson,#policecuts,12,4,3,1e-06
#austerity,#racism,12,5,4,1e-06
#beatingcrimeplan,#racism,12,4,4,1e-06
#borisjohnson,#racism,12,4,4,1e-06
#policecuts,#racism,12,2,4,1e-06
#austerity,#stopandsearch,12,5,13,1e-06
#beatingcrimeplan,#stopandsearch,12,4,13,1e-06
#borisjohnson,#stopandsearch,12,4,13,1e-06
#crackdown,#stopandsearch,1,3,13,1e-06
#drug,#stopandsearch,1,2,13,1e-06
#khanage,#stopandsearch,10,3,13,1e-06
#khaned,#stopandsearch,1,3,13,1e-06
#knifecrime,#stopandsearch,11,10,13,1e-06
#london,#stopandsearch,1,19,13,1e-06
#middleclass,#stopandsearch,1,1,13,1e-06
#policecuts,#stopandsearch,12,2,13,1e-06
#racism,#stopandsearch,12,1,13,1e-06
#stop,#stopandsearch,10,1,13,1e-06
#bournemouth,#covid19,9,10,1,1e-06
#bournemouth,#feminist,9,10,3,1e-06
#covid19,#feminist,9,9,3,1e-06
#crime,#feminist,9,44,3,1e-06
#bournemouth,#harassment,9,10,4,1e-06
#covid19,#harassment,9,9,4,1e-06
#crime,#harassment,9,44,4,1e-06
#feminist,#harassment,9,7,4,1e-06
#bournemouth,#lawyer,9,10,5,1e-06
#covid19,#lawyer,9,9,5,1e-06
#crime,#lawyer,9,44,5,1e-06
#feminist,#lawyer,9,7,5,1e-06
#harassment,#lawyer,9,6,5,1e-06
#bournemouth,#metoo,9,10,7,1e-06
#covid19,#metoo,9,9,7,1e-06
#crime,#metoo,9,44,7,1e-06
#feminist,#metoo,9,7,7,1e-06
#harassment,#metoo,9,6,7,1e-06
#lawyer,#metoo,9,5,7,1e-06
#london,#metoo,9,19,7,1e-06
#bournemouth,#metooindia,9,10,8,1e-06
#covid19,#metooindia,9,9,8,1e-06
#crime,#metooindia,9,44,8,1e-06
#feminist,#metooindia,9,7,8,1e-06
#harassment,#metooindia,9,6,8,1e-06
#lawyer,#metooindia,9,5,8,1e-06
#london,#metooindia,9,19,8,1e-06
#metoo,#metooindia,9,3,8,1e-06
#bournemouth,#woman,9,10,10,1e-06
#covid19,#woman,9,9,10,1e-06
#crime,#woman,9,44,10,1e-06
#feminist,#woman,9,7,10,1e-06
#harassment,#woman,9,6,10,1e-06
#lawyer,#woman,9,5,10,1e-06
#london,#woman,9,19,10,1e-06
#metoo,#woman,9,3,10,1e-06
#metooindia,#woman,9,2,10,1e-06
#police,#woman,9,4,10,1e-06
#brixton,#tube,1,3,3,1e-06
#london,#tube,1,19,3,1e-06
#stabbing,#tube,1,2,3,1e-06
#brutally,#hydepark,5,5,2,1e-06
#crime,#hydepark,5,44,2,1e-06
#brutally,#stabbed,5,5,5,1e-06
#crime,#stabbed,5,44,5,1e-06
#hydepark,#stabbed,5,3,5,1e-06
#london,#stabbed,5,19,5,1e-06
#police,#stabbed,5,4,5,1e-06
#caller_idspoofing,#callerid,1,2,1,1e-06
#charliehebdo,#freespeech,4,7,1,1e-06
#charliehebdo,#knifecr,9,7,1,1e-06
#charliehebdo,#knifecrime,3,7,9,1e-06
#crime,#knifecrime,2,44,9,1e-06
#drugs,#knifecrime,1,3,9,1e-06
#freespeech,#knifecrime,3,1,9,1e-06
#gangcrime,#knifecrime,2,3,9,1e-06
#guncrime,#knifecrime,1,2,9,1e-06
#jeanfoster,#knifecrime,1,4,9,1e-06
#khanage,#knifecrime,10,3,9,1e-06
#khaned,#knifecrime,1,3,9,1e-06
#charliehebdo,#terror,1,7,2,1e-06
#london,#terror,1,19,2,1e-06
#charliehebdo,#uk,1,7,3,1e-06
#london,#uk,1,19,3,1e-06
#terror,#uk,1,1,3,1e-06
#crackdown,#drug,1,3,1,1e-06
#crackdown,#middleclass,1,3,2,1e-06
#drug,#middleclass,1,2,2,1e-06
#crime,#dundasandhewitt,1,44,1,1e-06
#crime,#eastlondon,9,44,1,1e-06
#crime,#edmonton,1,44,1,1e-06
#crime,#ems,1,44,1,1e-06
#crime,#enfield,1,44,2,1e-06
#edmonton,#enfield,1,3,2,1e-06
#crime,#eu,2,44,1,1e-06
#crime,#fatal,1,44,2,1e-06
#ems,#fatal,1,5,2,1e-06
#crime,#fire,1,44,1,1e-06
#crime,#fraud,1,44,1,1e-06
#crime,#gangster,9,44,2,1e-06
#eastlondon,#gangster,9,4,2,1e-06
#crime,#grimsby,1,44,2,1e-06
#dundasandhewitt,#grimsby,1,1,2,1e-06
#crime,#hackneydowns,1,44,1,1e-06
#crime,#hate,2,44,2,1e-06
#eu,#hate,2,2,2,1e-06
#crime,#heathrow,1,44,1,1e-06
#crime,#hortonandwellington,1,44,1,1e-06
#crime,#insurance,1,44,2,1e-06
#fraud,#insurance,1,2,2,1e-06
#crime,#insurancebroker,1,44,3,1e-06
#fraud,#insurancebroker,1,2,3,1e-06
#insurance,#insurancebroker,1,1,3,1e-06
#crime,#jacquelinestreet,1,44,2,1e-06
#fire,#jacquelinestreet,1,1,2,1e-06
#crime,#judaspig,9,44,3,1e-06
#eastlondon,#judaspig,9,4,3,1e-06
#gangster,#judaspig,9,3,3,1e-06
#crime,#khan,1,44,1,1e-06
#crime,#knife,2,44,3,1e-06
#hortonandwellington,#knife,1,1,3,1e-06
#khan,#knife,1,2,3,1e-06
#crime,#londonpolice,1,44,4,1e-06
#ems,#londonpolice,1,5,4,1e-06
#fatal,#londonpolice,1,4,4,1e-06
#london,#londonpolice,1,19,4,1e-06
#crime,#motorcycle,1,44,5,1e-06
#ems,#motorcycle,1,5,5,1e-06
#fatal,#motorcycle,1,4,5,1e-06
#london,#motorcycle,1,19,5,1e-06
#londonpolice,#motorcycle,1,2,5,1e-06
#crime,#murder,1,44,4,1e-06
#edmonton,#murder,1,3,4,1e-06
#enfield,#murder,1,2,4,1e-06
#london,#murder,1,19,4,1e-06
#crime,#oakland,1,44,1,1e-06
#crime,#ontario,1,44,6,1e-06
#ems,#ontario,1,5,6,1e-06
#fatal,#ontario,1,4,6,1e-06
#london,#ontario,1,19,6,1e-06
#londonpolice,#ontario,1,2,6,1e-06
#motorcycle,#ontario,1,1,6,1e-06
#crime,#sadiq,1,44,3,1e-06
#khan,#sadiq,1,2,3,1e-06
#knife,#sadiq,1,1,3,1e-06
#crime,#street,1,44,3,1e-06
#knifecrime,#street,1,10,3,1e-06
#london,#street,1,19,3,1e-06
#crime,#villain,9,44,5,1e-06
#eastlondon,#villain,9,4,5,1e-06
#gangster,#villain,9,3,5,1e-06
#judaspig,#villain,9,2,5,1e-06
#london,#villain,9,19,5,1e-06
#drugs,#talkradio,1,3,3,1e-06
#knifecrime,#talkradio,1,10,3,1e-06
#london,#talkradio,1,19,3,1e-06
#enoughisenough,#stop,1,3,5,1e-06
#khanage,#stop,10,3,5,1e-06
#knifecrime,#stop,10,10,5,1e-06
#london,#stop,1,19,5,1e-06
#stabbing,#stop,1,2,5,1e-06
#gangcrime,#lawandorder,1,3,2,1e-06
#knifecrime,#lawandorder,1,10,2,1e-06
#gangcrime,#violentcrime,1,3,3,1e-06
#guncrime,#violentcrime,1,2,3,1e-06
#knifecrime,#violentcrime,3,10,3,1e-06
#jeanfoster,#mista,1,4,2,1e-06
#knifecrime,#mista,1,10,2,1e-06
#jeanfoster,#murdered,1,4,3,1e-06
#knifecrime,#murdered,1,10,3,1e-06
#mista,#murdered,1,2,3,1e-06
#jeanfoster,#teenagers,1,4,4,1e-06
#knifecrime,#teenagers,1,10,4,1e-06
#mista,#teenagers,1,2,4,1e-06
#murdered,#teenagers,1,1,4,1e-06
#police,#policereform,1,4,1,1e-06
